FAMILY,INTERNET,READ_PHONE_STATE,READ_CONTACTS,ACCESS_NETWORK_STATE,SEND_SMS,WRITE_EXTERNAL_STORAGE,INSTALL_PACKAGES,DELETE_PACKAGES,INSTALL_SHORTCUT,ACCESS_COARSE_LOCATION,ACCESS_FINE_LOCATION,ACCESS_COARSE_UPDATES,RECEIVE_BOOT_COMPLETED,WAKE_LOCK,ACCESS_LOCATION_EXTRA_COMMANDS,UNINSTALL_SHORTCUT,WRITE_HISTORY_BOOKMARKS,READ_HISTORY_BOOKMARKS,ACCESS_WIFI_STATE,READ_SETTINGS,VIBRATE,FLASHLIGHT,SET_WALLPAPER,WRITE_SETTINGS,MOUNT_UNMOUNT_FILESYSTEMS,CHANGE_NETWORK_STATE,ACCESS_MOCK_LOCATION,READ_LOGS,GET_TASKS,RECEIVE_SMS,READ_SMS,WRITE_SMS,CAMERA,WRITE_APN_SETTINGS,WRITE_CONTACTS,CALL_PHONE,RECEIVE_MMS,DISABLE_KEYGUARD,GET_ACCOUNTS,MODIFY_AUDIO_SETTINGS,BACKUP,BILLING,C2D_MESSAGE,RECEIVE,ACCESS,BROADCAST_STICKY,SYSTEM_ALERT_WINDOW,INTERNAL_SYSTEM_WINDOW,ADD_SYSTEM_SERVICE,REORDER_TASKS,CHANGE_CONFIGURATION,STATUS_BAR,MODIFY_PHONE_STATE,DEVICE_POWER,BROADCAST_WAP_PUSH,CHANGE_WIFI_STATE,BROADCAST_SMS,UPDATE_DEVICE_STATS,WRITE_SECURE,WRITE_SECURE_SETTINGS,PROCESS_OUTGOING_CALLS,BLUETOOTH,BLUETOOTH_ADMIN,RESTART_PACKAGES,live_wallpaper,REBOOT,CONTROL_LOCATION_UPDATES,INJECT_EVENTS,KILL_BACKGROUND_PROCESSES,BROADCAST_PACKAGE_REMOVED,READ_INPUT_STATE,READ_OWNER_DATA,RECEIVE_WAP_PUSH,SET_PREFERRED_APPLICATIONS,SET_PROCESS_FOREGROUND,SIGNAL_PERSISTENT_PROCESSES,SET_PROCESS_LIMIT,SET_ALWAYS_FINISH,SET_DEBUG_APP,PERSISTENT_ACTIVITY,CALL_PRIVILEGED,BATTERY_STATS,ACCESS_GPS,PERMISSION_NAME,RECORD_AUDIO,PROCESS_INCOMING_CALLS,CHECK_LICENSE,GET_PACKAGE_SIZE,CLEAR_APP_CACHE,ACCESS_LOCATION,READ_SYNC_SETTINGS,WRITE_SYNC_SETTINGS,HARDWARE_TEST,READ_SECURE_SETTINGS,DELETE_CACHE_FILES,ACCESS_CACHE_FILESYSTEM,WRITE_OWNER_DATA,READ_WRITE,CHANGE_WIFI_MULTICAST_STATE,CLEAR_APP_USER_DATA,BIND_INPUT_METHOD,AUTHENTICATE_ACCOUNTS,MANAGE_ACCOUNTS,ACCESS_CHECKIN_PROPERTIES,READ_SYNC_STATS,EXPAND_STATUS_BAR,BIND_APPWIDGET,DIAGNOSTIC,GLOBAL_SEARCH,MANAGE_APP_TOKENS,SET_TIME_ZONE,MOUNT_FORMAT_FILESYSTEMS,MASTER_CLEAR,BRICK,SET_ACTIVITY_WATCHER,READ_CALENDAR,SUBSCRIBED_FEEDS_READ,USE_CREDENTIALS,ACCOUNT_MANAGER,WRITE_CALENDAR,INSTALL_LOCATION_PROVIDER,ACCESS_SURFACE_FLINGER,CHANGE_COMPONENT_ENABLED_STATE,DUMP,WRITE_GSERVICES,SET_WALLPAPER_HINTS,READ_FRAME_BUFFER,FORCE_BACK,SET_ANIMATION_SCALE,SET_ORIENTATION,FACTORY_TEST,SUBSCRIBED_FEEDS_WRITE,PROCESS_CALL,SET_ALARM,READ_GMAIL,ACCESS_LOCATTON_MOCK_LOCATION,ACCESS_DOWNLOAD_MANAGER,ACCESS_DOWNLOAD_MANAGER_ADVANCED,READ_EXTERNAL_STORAGE,ACCESS_WIMAX_STATE,CHANGE_WIMAX_STATE,READ_PERMISSION,WRITE_PERMISSION,ACCESS_INTENTS,BIND_WALLPAPER,ACCESS_COURSE_LOCATION,GOOGLE_AUTH,GLOBAL_SEARCH_CONTROL,ACCESS_DRM,SEND_DOWNLOAD_COMPLETED_INTENTS,INSTALL_DRM,PERMISSION
Contagio,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
