FAMILY,READ_PHONE_STATE,ACCESS_NETWORK_STATE,SEND_SMS,INTERNET,WRITE_EXTERNAL_STORAGE,INSTALL_PACKAGES,DELETE_PACKAGES,BROADCAST_SMS,READ_LOGS,RECEIVE_BOOT_COMPLETED,SET_PROCESS_LIMIT,SET_ALWAYS_FINISH,SET_DEBUG_APP,SYSTEM_ALERT_WINDOW,PERSISTENT_ACTIVITY,WAKE_LOCK,ACCESS_FINE_LOCATION,ACCESS_LOCATION_EXTRA_COMMANDS,READ_CONTACTS,ACCESS_COARSE_LOCATION,CALL_PHONE,READ_SMS,RECEIVE_SMS,C2D_MESSAGE,RECEIVE,DISABLE_KEYGUARD,CALL_PRIVILEGED,GET_TASKS,RESTART_PACKAGES,KILL_BACKGROUND_PROCESSES,INSTALL_SHORTCUT,MODIFY_PHONE_STATE,CHANGE_NETWORK_STATE,ACCESS_WIFI_STATE,RECEIVE_WAP_PUSH,PROCESS_OUTGOING_CALLS,BATTERY_STATS,UNINSTALL_SHORTCUT,WRITE_HISTORY_BOOKMARKS,READ_HISTORY_BOOKMARKS,READ_SETTINGS,VIBRATE,ACCESS_COARSE_UPDATES,ACCESS_GPS,WRITE_CONTACTS,PERMISSION_NAME,WRITE_SMS,RECORD_AUDIO,DEVICE_POWER,WRITE_APN_SETTINGS,GET_ACCOUNTS,CAMERA,PROCESS_INCOMING_CALLS,WRITE_SECURE_SETTINGS,WRITE_SETTINGS,CHECK_LICENSE,GET_PACKAGE_SIZE,CLEAR_APP_CACHE,MODIFY_AUDIO_SETTINGS,ACCESS_MOCK_LOCATION,UPDATE_DEVICE_STATS,BLUETOOTH,ACCESS_LOCATION,CHANGE_WIFI_STATE,BLUETOOTH_ADMIN,READ_SYNC_SETTINGS,WRITE_SYNC_SETTINGS,FLASHLIGHT,HARDWARE_TEST,READ_SECURE_SETTINGS,CHANGE_CONFIGURATION,DELETE_CACHE_FILES,ACCESS_CACHE_FILESYSTEM,READ_OWNER_DATA,WRITE_OWNER_DATA,MOUNT_UNMOUNT_FILESYSTEMS,READ_WRITE,live_wallpaper,SET_WALLPAPER,REBOOT,RECEIVE_MMS,CONTROL_LOCATION_UPDATES,INJECT_EVENTS,BROADCAST_PACKAGE_REMOVED,BROADCAST_STICKY,ADD_SYSTEM_SERVICE,READ_INPUT_STATE,SET_PREFERRED_APPLICATIONS,SET_PROCESS_FOREGROUND,SIGNAL_PERSISTENT_PROCESSES,READ_GMAIL,ACCESS_LOCATTON_MOCK_LOCATION,ACCESS_DOWNLOAD_MANAGER,ACCESS_DOWNLOAD_MANAGER_ADVANCED,READ_EXTERNAL_STORAGE,READ_PERMISSION,WRITE_PERMISSION,ACCESS_INTENTS,SET_ORIENTATION,ACCESS_WIMAX_STATE,CHANGE_WIMAX_STATE,BROADCAST_WAP_PUSH,DUMP,ACCESS_COURSE_LOCATION,REORDER_TASKS,GOOGLE_AUTH,BILLING,EXPAND_STATUS_BAR,SET_WALLPAPER_HINTS,GLOBAL_SEARCH_CONTROL,ACCESS_DRM,SEND_DOWNLOAD_COMPLETED_INTENTS,INSTALL_DRM,WRITE_CALENDAR,PERMISSION
Contagio,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contagio,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
